Date,close_x,volume,net_order_flow,close_y,RSI,Inflation Rate,CPI,value,classification
2020-01-01,204.44,43234.9585,983.5558600000004,204.42,62.56493506493506,1.3204191315779434,259.127,93.0,Extreme Greed
2020-01-02,195.49,76481.1405,1983.9114400000108,195.57,57.01183431952662,1.3204191315779434,259.127,97.0,Extreme Greed
2020-01-03,222.43,236151.17473,-5086.385069999989,222.3,68.75268817204302,1.3204191315779434,259.127,93.0,Extreme Greed
2020-01-04,224.47,110315.64423,1286.5933099999966,224.4,70.34512143161483,1.3204191315779434,259.127,93.0,Extreme Greed
2020-01-05,222.79,90338.28418,3391.383679999999,222.86,65.58510015227833,1.3204191315779434,259.127,93.0,Extreme Greed
2020-01-06,244.25,177504.59026,1496.5578000000096,244.18,77.12490023942537,1.3204191315779434,259.127,93.0,Extreme Greed
2020-01-07,242.3,180860.80127,-618.9779500000004,242.6,77.00966231696384,1.3204191315779434,259.127,89.0,Extreme Greed
2020-01-08,240.19,238290.07035,5738.17313000001,240.09,77.4804570054119,1.3204191315779434,259.127,92.0,Extreme Greed
2020-01-09,238.01,109003.33057,-2144.0516900000075,238.04,75.31957725213888,1.3204191315779434,259.127,93.0,Extreme Greed
2020-01-10,271.83,311448.58074,1338.0400399999926,271.74,79.13724155534757,1.3204191315779434,259.127,91.0,Extreme Greed
2020-01-11,260.83,199691.49268,2086.783220000012,260.98,71.86827206761822,1.3204191315779434,259.127,91.0,Extreme Greed
2020-01-12,270.77,105180.61526,1484.9671799999924,270.24,72.52122439442324,1.3204191315779434,259.127,91.0,Extreme Greed
2020-01-13,267.21,91495.50923,-6583.342969999998,267.06,72.86742839254968,1.3204191315779434,259.127,90.0,Extreme Greed
2020-01-14,348.35,827847.55896,19784.949439999997,348.98,85.05685683739917,1.3204191315779434,259.127,91.0,Extreme Greed
2020-01-15,339.99,498653.95613,76.59771000000183,340.09,81.6409347450907,1.3204191315779434,259.127,87.0,Extreme Greed
2020-01-16,326.76,247311.30454,-6101.032600000006,326.96,80.04298714958612,1.3204191315779434,259.127,89.0,Extreme Greed
2020-01-17,368.0,395293.4218,-10226.142760000017,367.83,81.25510072591382,1.3204191315779434,259.127,89.0,Extreme Greed
2020-01-18,339.01,482356.86961,-9904.004589999968,339.27,72.15258225016392,1.3204191315779434,259.127,89.0,Extreme Greed
2020-01-19,339.61,305020.88339,-8527.24132999999,339.45,72.60284595401495,1.3204191315779434,259.127,89.0,Extreme Greed
2020-01-20,343.39,171058.37052,1345.1977199999965,343.35,70.6183209281051,1.3204191315779434,259.127,89.0,Extreme Greed
2020-01-21,343.5,107803.73807,561.7323899999901,343.55,71.10953117811886,1.3204191315779434,259.127,82.0,Extreme Greed
2020-01-22,349.22,96093.49399,2790.4267899999977,348.73,72.46670526925303,1.3204191315779434,259.127,74.0,Greed
2020-01-23,325.21,135190.02823,-5563.941389999993,325.21,66.55650522317188,1.3204191315779434,259.127,68.0,Greed
2020-01-24,318.83,217601.81697,-4360.640930000023,318.77,59.9644052714098,1.3204191315779434,259.127,62.0,Greed
2020-01-25,310.13,100771.89962,322.42609999999695,310.1,60.50021376656691,1.3204191315779434,259.127,62.0,Greed
2020-01-26,348.24,176481.76156,6705.989499999996,348.03,64.8131926724302,1.3204191315779434,259.127,62.0,Greed
2020-01-27,362.86,248777.01991,936.1392699999851,362.85,67.46654024287955,1.3204191315779434,259.127,48.0,Fear
2020-01-28,378.6,210830.79139,-7778.556530000002,378.78,57.15589280568628,1.3204191315779434,259.127,52.0,Greed
2020-01-29,380.26,200640.1964,1143.016340000002,380.38,60.02587965958294,1.3204191315779434,259.127,53.0,Greed
2020-01-30,392.69,197841.16173,6213.151509999996,392.68,66.42178910544729,1.3204191315779434,259.127,56.0,Greed
2020-01-31,374.86,146704.06246,-2205.6954399999813,374.91,52.000000000000014,1.3204191315779434,259.127,44.0,Fear
2020-02-01,380.08,106551.71789,941.2851499999961,380.14,63.29797618272923,1.3204191315779434,259.25,44.0,Fear
2020-02-02,377.34,98738.97527,-486.9508300000016,377.47,62.17341188524592,1.3204191315779434,259.25,44.0,Fear
2020-02-03,384.25,132459.04345,-2796.56715000001,384.44,62.90271933680839,1.3204191315779434,259.25,46.0,Fear
2020-02-04,380.93,111599.02261,-11296.372709999996,380.94,61.5024918476589,1.3204191315779434,259.25,55.0,Greed
2020-02-05,444.92,254489.93106,17809.174619999976,445.24,71.77080983532598,1.3204191315779434,259.25,60.0,Greed
2020-02-06,445.76,183772.05365,1845.4887300000119,445.41,80.30761472516393,1.3204191315779434,259.25,64.0,Greed
2020-02-07,439.21,152210.53024,2615.169040000008,439.49,80.51875821619984,1.3204191315779434,259.25,57.0,Greed
2020-02-08,444.46,147309.77991,5390.279669999989,444.44,84.61300628671546,1.3204191315779434,259.25,57.0,Greed
2020-02-09,449.72,149967.53436,-2615.9039999999804,449.76,81.50510994115827,1.3204191315779434,259.25,57.0,Greed
2020-02-10,452.05,150905.28806,1429.2799600000144,451.96,79.93684069072097,1.3204191315779434,259.25,55.0,Greed
2020-02-11,461.89,149039.05207,2947.8934099999897,461.77,79.07644874220449,1.3204191315779434,259.25,56.0,Greed
2020-02-12,473.55,163282.70277,5921.419469999993,473.68,80.48621095281665,1.3204191315779434,259.25,59.0,Greed
2020-02-13,477.32,174921.81401,4096.4963299999945,477.26,79.30699930699932,1.3204191315779434,259.25,58.0,Greed
2020-02-14,493.77,141147.43543,1001.8092499999912,493.73,91.54545454545456,1.3204191315779434,259.25,55.0,Greed
2020-02-15,438.96,202082.72431,-6362.068449999992,439.06,65.30866763666597,1.3204191315779434,259.25,55.0,Greed
2020-02-16,411.68,254154.92558,-16967.52778000002,412.62,58.128671199296974,1.3204191315779434,259.25,55.0,Greed
2020-02-17,412.99,366860.16592,2177.692240000004,413.0,56.812327068027855,1.3204191315779434,259.25,55.0,Greed
2020-02-18,420.2,243144.07689,2925.624290000007,419.93,59.15043417038254,1.3204191315779434,259.25,51.0,Greed
2020-02-19,378.46,146767.64105,-7091.361709999997,378.89,32.52015385425997,1.3204191315779434,259.25,53.0,Greed
2020-02-20,371.1,207799.23573,-8490.548809999978,371.43,31.230972194032873,1.3204191315779434,259.25,50.0,Neutral
2020-02-21,377.74,135650.11257,5363.537669999991,377.74,34.364713627386436,1.3204191315779434,259.25,44.0,Fear
2020-02-22,373.14,90739.12749,-681.9869299999991,373.18,31.921047290440427,1.3204191315779434,259.25,44.0,Fear
