Date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,Inflation Rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply,circulating_total_ratio,price_to_circulating_supply
2023-05-03,739983994.6203644,1203334906.8525975,1.4005671793178134,1.4005671793178134,1.4005671793178134,1.4005671793178134,1.4005671793178134,1203334906.8525975,64.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-04,739983994.6203644,1203334906.8525975,1.4005671793178134,1.4005671793178134,1.4005671793178134,1.4005671793178134,1.4005671793178134,1203334906.8525975,64.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-05,702556460.8025225,468888030.8799152,1.3269125259082506,1.3269125259082506,1.3269125259082506,1.3269125259082506,1.3269125259082506,468888030.8799152,61.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-06,691632510.0649327,538600405.4654943,1.3090165398164966,1.3090165398164966,1.3090165398164966,1.3090165398164966,1.3090165398164966,538600405.4654943,60.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-07,705681473.6859394,314740496.38104,1.335342073476207,1.335342073476207,1.335342073476207,1.335342073476207,1.335342073476207,314740496.38104,64.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-08,678445018.1349874,213613958.5905251,1.2808450705096321,1.2808450705096321,1.2808450705096321,1.2808450705096321,1.2808450705096321,213613958.5905251,60.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-09,599711576.8404514,419512568.2440893,1.1456395054118766,1.1456395054118766,1.1456395054118766,1.1456395054118766,1.1456395054118766,419512568.2440893,51.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-10,624083328.3731753,237912834.18750206,1.1819789122528859,1.1819789122528859,1.1819789122528859,1.1819789122528859,1.1819789122528859,237912834.18750206,52.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-11,624301915.0826889,449633752.82847315,1.181598604138486,1.181598604138486,1.181598604138486,1.181598604138486,1.181598604138486,449633752.82847315,52.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-12,572336615.2329079,207659511.37651753,1.079040552747943,1.079040552747943,1.079040552747943,1.079040552747943,1.079040552747943,207659511.37651753,49.0,Fear,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-13,591489222.2425399,266987063.36511046,1.1179222265978297,1.1179222265978297,1.1179222265978297,1.1179222265978297,1.1179222265978297,266987063.36511046,48.0,Fear,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-14,581908259.8392556,94038649.88875328,1.0989088879653925,1.0989088879653925,1.0989088879653925,1.0989088879653925,1.0989088879653925,94038649.88875328,48.0,Fear,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-15,613922798.1246532,215749196.17063695,1.1607268926318264,1.1607268926318264,1.1607268926318264,1.1607268926318264,1.1607268926318264,215749196.17063695,50.0,Neutral,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-16,642057577.7481537,330968347.82282114,1.2148245699756746,1.2148245699756746,1.2148245699756746,1.2148245699756746,1.2148245699756746,330968347.82282114,54.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-17,615627648.6858141,205023386.00742084,1.1654712570041563,1.1654712570041563,1.1654712570041563,1.1654712570041563,1.1654712570041563,205023386.00742084,50.0,Neutral,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-18,638355492.8665025,257130613.89465958,1.2137379181339818,1.2137379181339818,1.2137379181339818,1.2137379181339818,1.2137379181339818,257130613.89465958,51.0,Greed,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-19,608424932.429319,114791181.66085409,1.1437684965614368,1.1437684965614368,1.1437684965614368,1.1437684965614368,1.1437684965614368,114791181.66085409,48.0,Fear,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
2023-05-20,602342135.3570111,67041016.472955614,1.132540771643802,1.132540771643802,1.132540771643802,1.132540771643802,1.132540771643802,67041016.472955614,48.0,Fear,3.322200208829762,77.78,22.22,23,3169845047.483887,10000000000.0,10000000000.0,0.31698450474838874,2.3545651062421338
