date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2023-11-03,0.0,22558.51753701128,7.61280809175462e-09,7.61280809175462e-09,7.61280809175462e-09,7.61280809175462e-09,7.61280809175462e-09,22558.51753701128,65.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-04,0.0,22558.51753701128,7.61280809175462e-09,7.61280809175462e-09,7.61280809175462e-09,7.61280809175462e-09,7.61280809175462e-09,22558.51753701128,68.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-05,0.0,21580.12379660213,8.018082044759007e-09,8.018082044759007e-09,8.018082044759007e-09,8.018082044759007e-09,8.018082044759007e-09,21580.12379660213,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-06,0.0,24438.589135290815,7.668181040571248e-09,7.668181040571248e-09,7.668181040571248e-09,7.668181040571248e-09,7.668181040571248e-09,24438.589135290815,74.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-07,0.0,24574.347058815023,8.058304422319541e-09,8.058304422319541e-09,8.058304422319541e-09,8.058304422319541e-09,8.058304422319541e-09,24574.347058815023,68.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-08,0.0,21483.12646761759,7.235546847060092e-09,7.235546847060092e-09,7.235546847060092e-09,7.235546847060092e-09,7.235546847060092e-09,21483.12646761759,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-09,0.0,20029.859091224986,7.2230054360385905e-09,7.2230054360385905e-09,7.2230054360385905e-09,7.2230054360385905e-09,7.2230054360385905e-09,20029.859091224986,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-10,0.0,27315.557707267548,8.369342616817036e-09,8.369342616817036e-09,8.369342616817036e-09,8.369342616817036e-09,8.369342616817036e-09,27315.557707267548,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-11,0.0,26216.69329319681,8.237432423387404e-09,8.237432423387404e-09,8.237432423387404e-09,8.237432423387404e-09,8.237432423387404e-09,26216.69329319681,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-12,0.0,30649.93984247307,9.372675432020049e-09,9.372675432020049e-09,9.372675432020049e-09,9.372675432020049e-09,9.372675432020049e-09,30649.93984247307,73.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-13,0.0,27526.735450242766,9.234587404583671e-09,9.234587404583671e-09,9.234587404583671e-09,9.234587404583671e-09,9.234587404583671e-09,27526.735450242766,72.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-14,0.0,27543.06859849654,8.881122515918698e-09,8.881122515918698e-09,8.881122515918698e-09,8.881122515918698e-09,8.881122515918698e-09,27543.06859849654,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-15,0.0,27146.33703058627,8.868988993869068e-09,8.868988993869068e-09,8.868988993869068e-09,8.868988993869068e-09,8.868988993869068e-09,27146.33703058627,60.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-16,0.0,21979.091539085442,9.088896050298095e-09,9.088896050298095e-09,9.088896050298095e-09,9.088896050298095e-09,9.088896050298095e-09,21979.091539085442,70.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-17,0.0,26122.934082248474,8.92236525045201e-09,8.92236525045201e-09,8.92236525045201e-09,8.92236525045201e-09,8.92236525045201e-09,26122.934082248474,63.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-18,0.0,28486.767800905236,8.96161575360927e-09,8.96161575360927e-09,8.96161575360927e-09,8.96161575360927e-09,8.96161575360927e-09,28486.767800905236,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-19,0.0,25540.481466515364,8.936438225864297e-09,8.936438225864297e-09,8.936438225864297e-09,8.936438225864297e-09,8.936438225864297e-09,25540.481466515364,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
2023-11-20,0.0,25989.92597133751,9.71037506665441e-09,9.71037506665441e-09,9.71037506665441e-09,9.71037506665441e-09,9.71037506665441e-09,25989.92597133751,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,100000000000000.0,100000000000000.0
