open,high,low,close,volume,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,fear_greed_volume,net_order_flow,fear_greed_close,rsi,inflation rate,cpi,value,classification_Extreme Greed,classification_Fear,classification_Greed,classification_Neutral
-1.0,-1.0,-0.9999999999999999,-0.999675596849907,-0.7507013927153681,-1.0,-0.9964322267972011,-0.7400016549896758,-1.0,-0.7507031174113272,-0.18885175593564657,-0.9996771478317017,0.018237270783308057,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9974406936618583,-0.9990475218559717,-0.9983072641933827,-1.0,-0.70302168465919,-0.9993746546543205,-0.9950992060546178,-0.6722683384774875,-0.9991985801221405,-0.7030233623836897,0.007968365936364685,-0.9999999999999999,0.01052626520679012,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.997765502117014,-0.9964622240364662,-0.9976249149053906,-0.9970942087503523,-0.5273658266366397,-0.997018395707103,-0.9894655081331866,-0.5067764099719074,-0.9969538233892333,-0.5273673313145251,-0.139203232533131,-0.997102017441704,0.272079737784763,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9948545119196256,-0.9956532979555737,-0.9971256931976065,-0.9946880905991888,-0.5570300111590096,-0.9970835574301379,-0.9884443996365773,-0.5327945690893363,-0.9969476016193864,-0.5570315450604391,-0.09432255140251355,-0.9946806261794673,0.40024368029736435,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9924572258747175,-0.995582542436303,-0.9955165591123885,-0.9972041368320188,-0.620012773080439,-0.9977168611821943,-0.99080439593913,-0.6331913220521785,-0.9980015620992343,-0.6200143690290658,-0.46769277644181223,-0.9972096348311367,0.222498920294536,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9949719958289373,-0.9977616763615335,-0.9967936749326209,-0.9989122501009917,-0.5197315802902014,-0.9970959923436702,-0.9924353198172158,-0.5819049533154514,-0.9978920930620725,-0.5197330774472417,-1.0,-0.9989084521928964,0.2628878686161136,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9966858787412481,-0.9946253019015545,-0.9966368221791385,-0.9956674498722182,0.7647612376018678,-0.9811433867351445,-0.97049968701013,0.9246539049918592,-0.9797935124917759,0.7647610058574108,0.9999999999999997,-0.9956568696407501,0.3383593559058289,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9934216689472366,-0.9868013742898935,-0.9946176415556289,-0.9890725337000678,0.7077510332858963,-0.975772723865311,-0.9765110322343644,0.7937799684866442,-0.9753997116073457,0.7077507453780816,0.24690498060697408,-0.9890691480161886,0.4975283323141899,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9869216605006811,-0.9874830765044051,-0.9886062796835873,-0.987831038232295,-0.4377846893569034,-0.9925833518425513,-0.9899147575561789,-0.404388180020802,-0.9923014511612845,-0.4377861057843161,-0.02753663234114115,-0.9878392349941002,0.5807915453577004,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
-0.9856823204377465,-0.9871299792495832,-0.986810036983809,-0.9873229091275285,-0.6705793793730147,-0.996323419835277,-0.9946244528664075,-0.654568989756191,-0.9962482767661495,-0.6705810251371166,-0.1527452756806647,-0.9873472697852648,0.6008225629667645,1.0000000000000004,-1.0,2.220446049250313e-16,0.0,0.0,0.0,1.0
