Date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,Inflation Rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply,circulating_total_ratio,price_to_circulating_supply
2024-10-21,41451498.47634711,42123124.93041051,0.040676713234606296,0.040676713234606296,0.040676713234606296,0.040676713234606296,0.040676713234606296,42123124.93041051,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-22,41451498.47634711,42123124.93041051,0.040676713234606296,0.040676713234606296,0.040676713234606296,0.040676713234606296,0.040676713234606296,42123124.93041051,70.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-23,36158303.16013673,28532607.68364794,0.036090884943839455,0.036090884943839455,0.036090884943839455,0.036090884943839455,0.036090884943839455,28532607.68364794,71.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-24,57186541.149525724,60246098.06542962,0.0572873475126653,0.0572873475126653,0.0572873475126653,0.0572873475126653,0.0572873475126653,60246098.06542962,69.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-25,50040864.288521625,57195500.71701681,0.04950529281206496,0.04950529281206496,0.04950529281206496,0.04950529281206496,0.04950529281206496,57195500.71701681,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-26,42233165.44663033,47053701.98609898,0.04294727272627958,0.04294727272627958,0.04294727272627958,0.04294727272627958,0.04294727272627958,47053701.98609898,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-27,47868264.22424272,35016340.088164434,0.04786709383412736,0.04786709383412736,0.04786709383412736,0.04786709383412736,0.04786709383412736,35016340.088164434,74.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-28,30704680.294170186,24457606.950156808,0.03006017395699991,0.03006017395699991,0.03006017395699991,0.03006017395699991,0.03006017395699991,24457606.950156808,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-29,24489644.169606913,27031370.085021295,0.023690011344669113,0.023690011344669113,0.023690011344669113,0.023690011344669113,0.023690011344669113,27031370.085021295,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-30,26705686.593253173,33008714.13542346,0.026749400049395765,0.026749400049395765,0.026749400049395765,0.026749400049395765,0.026749400049395765,33008714.13542346,77.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-10-31,23733466.338087164,21544050.423744846,0.02372275138581775,0.02372275138581775,0.02372275138581775,0.02372275138581775,0.02372275138581775,21544050.423744846,77.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-01,25530769.760249395,19439479.7090303,0.02547920958889942,0.02547920958889942,0.02547920958889942,0.02547920958889942,0.02547920958889942,19439479.7090303,75.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-02,33512307.895618305,19096238.66746603,0.034088113252606515,0.034088113252606515,0.034088113252606515,0.034088113252606515,0.034088113252606515,19096238.66746603,72.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-03,23992825.489196584,16151282.429657666,0.023995323058722255,0.023995323058722255,0.023995323058722255,0.023995323058722255,0.023995323058722255,16151282.429657666,74.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-04,34368498.17295755,20200459.44072511,0.03415452755031849,0.03415452755031849,0.03415452755031849,0.03415452755031849,0.03415452755031849,20200459.44072511,70.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-05,43598653.77283807,20894164.23753845,0.04390331291304465,0.04390331291304465,0.04390331291304465,0.04390331291304465,0.04390331291304465,20894164.23753845,70.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-06,59230951.31246403,25491070.343717802,0.0592603275626505,0.0592603275626505,0.0592603275626505,0.0592603275626505,0.0592603275626505,25491070.343717802,70.0,Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-07,62185900.61340364,38016611.04031207,0.06208512721756886,0.06208512721756886,0.06208512721756886,0.06208512721756886,0.06208512721756886,38016611.04031207,77.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-08,89556507.33952048,34661858.25961852,0.08883845107773207,0.08883845107773207,0.08883845107773207,0.08883845107773207,0.08883845107773207,34661858.25961852,75.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-09,76769322.47362264,27337631.73116947,0.07716642273573236,0.07716642273573236,0.07716642273573236,0.07716642273573236,0.07716642273573236,27337631.73116947,75.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-10,109351164.01925421,35865257.86619475,0.10928061266590447,0.10928061266590447,0.10928061266590447,0.10928061266590447,0.10928061266590447,35865257.86619475,78.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-11,140850777.09031773,47571003.171042725,0.14082378307650753,0.14082378307650753,0.14082378307650753,0.14082378307650753,0.14082378307650753,47571003.171042725,76.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-12,139830452.23383737,46953413.79533106,0.1391942036165851,0.1391942036165851,0.1391942036165851,0.1391942036165851,0.1391942036165851,46953413.79533106,80.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
2024-11-13,153909776.40860733,59347850.0936295,0.15246673062663005,0.15246673062663005,0.15246673062663005,0.15246673062663005,0.15246673062663005,59347850.0936295,84.0,Extreme Greed,2.872366268806581,54.55,45.45,187,999993768.267789,999993768.267789,1000000000.0,1.0,0.3375910677771312
