date,cg_market_cap,cg_volume,price,open,high,low,close,volume,value,classification,inflation rate,sentiment_votes_up_percentage,sentiment_votes_down_percentage,market_cap_rank,circulating_supply,total_supply,max_supply
2023-11-18,0.0,1899.5874588634701,9.800671078401784e-13,9.800671078401784e-13,9.800671078401784e-13,9.800671078401784e-13,9.800671078401784e-13,1899.5874588634701,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-19,0.0,1496.8854574650534,8.708487852022696e-13,8.708487852022696e-13,8.708487852022696e-13,8.708487852022696e-13,8.708487852022696e-13,1496.8854574650534,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-20,0.0,700.1981002461438,8.917015173428916e-13,8.917015173428916e-13,8.917015173428916e-13,8.917015173428916e-13,8.917015173428916e-13,700.1981002461438,69.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-21,0.0,847.7473338460572,9.902971679296635e-13,9.902971679296635e-13,9.902971679296635e-13,9.902971679296635e-13,9.902971679296635e-13,847.7473338460572,71.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-22,0.0,1548.490505634512,8.4187255020995e-13,8.4187255020995e-13,8.4187255020995e-13,8.4187255020995e-13,8.4187255020995e-13,1548.490505634512,62.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-23,0.0,1129.7085544746872,8.064375555154027e-13,8.064375555154027e-13,8.064375555154027e-13,8.064375555154027e-13,8.064375555154027e-13,1129.7085544746872,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-24,0.0,2128.711941513164,6.770538442082723e-13,6.770538442082723e-13,6.770538442082723e-13,6.770538442082723e-13,6.770538442082723e-13,2128.711941513164,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-25,0.0,660.9673923382402,6.776049150373647e-13,6.776049150373647e-13,6.776049150373647e-13,6.776049150373647e-13,6.776049150373647e-13,660.9673923382402,73.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-26,0.0,108.7099696883014,6.72726826771228e-13,6.72726826771228e-13,6.72726826771228e-13,6.72726826771228e-13,6.72726826771228e-13,108.7099696883014,73.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
2023-11-27,0.0,488.38491975658656,5.951837518138307e-13,5.951837518138307e-13,5.951837518138307e-13,5.951837518138307e-13,5.951837518138307e-13,488.38491975658656,66.0,Greed,3.322200208829762,Unknown,Unknown,Unknown,0.0,1e+17,1e+17
